2025-01-13 20:37:57,549 - INFO - [Increment Mode] START CRAWLING DATA FROM DANGDANG!
2025-01-13 20:38:05,354 - INFO - [Increment Mode] 第3页第19条数据已存在,跳过!
2025-01-13 20:38:05,355 - INFO - [Increment Mode] 第3页第20条数据已存在,跳过!
2025-01-13 20:38:05,355 - INFO - [Increment Mode] 第3页第21条数据已存在,跳过!
2025-01-13 20:38:05,355 - INFO - [Increment Mode] 第3页第22条数据已存在,跳过!
2025-01-13 20:38:05,356 - INFO - [Increment Mode] 第3页第23条数据已存在,跳过!
2025-01-13 20:38:05,356 - INFO - [Increment Mode] 第3页第24条数据已存在,跳过!
2025-01-13 20:38:05,356 - INFO - [Increment Mode] 第3页第25条数据已存在,跳过!
2025-01-13 20:38:05,356 - INFO - [Increment Mode] 第3页第26条数据已存在,跳过!
2025-01-13 20:38:05,356 - INFO - [Increment Mode] 第3页第27条数据已存在,跳过!
2025-01-13 20:38:05,357 - INFO - [Increment Mode] 第3页第28条数据已存在,跳过!
2025-01-13 20:38:05,357 - INFO - [Increment Mode] 第3页第29条数据已存在,跳过!
2025-01-13 20:38:05,357 - INFO - [Increment Mode] 第3页第30条数据已存在,跳过!
2025-01-13 20:38:05,357 - INFO - [Increment Mode] 第3页第31条数据已存在,跳过!
2025-01-13 20:38:05,358 - INFO - [Increment Mode] 第3页第32条数据已存在,跳过!
2025-01-13 20:38:05,358 - INFO - [Increment Mode] 第3页第33条数据已存在,跳过!
2025-01-13 20:38:05,358 - INFO - [Increment Mode] 第3页第34条数据已存在,跳过!
2025-01-13 20:38:05,359 - INFO - [Increment Mode] 第3页第35条数据已存在,跳过!
2025-01-13 20:38:05,359 - INFO - [Increment Mode] 第3页第36条数据已存在,跳过!
2025-01-13 20:38:05,359 - INFO - [Increment Mode] 第3页第37条数据已存在,跳过!
2025-01-13 20:38:05,359 - INFO - [Increment Mode] 第3页第38条数据已存在,跳过!
2025-01-13 20:38:05,360 - INFO - [Increment Mode] 第3页第39条数据已存在,跳过!
2025-01-13 20:38:05,360 - INFO - [Increment Mode] 第3页第40条数据已存在,跳过!
2025-01-13 20:38:05,360 - INFO - [Increment Mode] 第3页第41条数据已存在,跳过!
2025-01-13 20:38:05,360 - INFO - [Increment Mode] 第3页第42条数据已存在,跳过!
2025-01-13 20:38:05,361 - INFO - [Increment Mode] 第3页第43条数据已存在,跳过!
2025-01-13 20:38:05,361 - INFO - [Increment Mode] 第3页第44条数据已存在,跳过!
2025-01-13 20:38:05,361 - INFO - [Increment Mode] 第3页第45条数据已存在,跳过!
2025-01-13 20:38:05,361 - INFO - [Increment Mode] 第3页第46条数据已存在,跳过!
2025-01-13 20:38:05,362 - INFO - [Increment Mode] 第3页第47条数据已存在,跳过!
2025-01-13 20:38:05,362 - INFO - [Increment Mode] 第3页第48条数据已存在,跳过!
